gene	coord	86minua2_CAST	86minua2_129S1	86minua2_total	86minua2_CAST/all	86minua2_htseqCount
2700089E24Rik	chr6:133105239-133107750	0	12	12	0	39
2700097O09Rik	chr12:55045661-55045943	9	0	9	1	170
2700099C18Rik	chr17:94774892-94775129	19	22	41	0.463415	94
2810004N23Rik	chr8:124860946-124861271	371	211	582	0.637457	580
2810006K23Rik	chr5:124340609-124341852	3	5	8	0.375	72
2810008D09Rik	chr11:117078776-117078955	87	143	230	0.378261	89
2810013P06Rik	chr8:123042575-123044602	15	5	20	0.75	73
2810025M15Rik	chr1:157419869-157420236	131	130	261	0.501916	428
2810403A07Rik	chr3:88711630-88712933	38	35	73	0.520548	366
2810408I11Rik	chr1:64690464-64690659	10	11	21	0.47619	60
2810408M09Rik	chr2:165490112-165491711	37	40	77	0.480519	74
2810417H13Rik	chr9:65893372-65893534	9	21	30	0.3	127
2810428I15Rik	chr8:70506662-70506739	31	14	45	0.688889	217
2810474O19Rik	chr6:149334592-149335663	60	42	102	0.588235	737
2900011O08Rik	chr16:14099793-14101494	3	9	12	0.25	57
2900026A02Rik	chr5:113095590-113095764	7	4	11	0.636364	121
2900076A07Rik	chr7:81529347-81529527	10	12	22	0.454545	30
2900097C17Rik	chr2:156388063-156392979	15	17	32	0.46875	467
3010026O09Rik	chr11:50199536-50200115	13	15	28	0.464286	78
3110002H16Rik	chr18:12188560-12188637	18	6	24	0.75	183
3110040N11Rik	chr7:81789355-81789453	84	61	145	0.57931	143
3110043O21Rik	chr4:35191282-35193068	24	27	51	0.470588	165
3110082I17Rik	chr5:139460469-139460534	140	168	308	0.454545	221
3632451O06Rik	chr14:49772862-49774239	5	5	10	0.5	52
3830406C13Rik	chr14:12301148-12303231	3	7	10	0.3	59
4833420G17Rik	chr13:119485727-119486117	193	107	300	0.643333	263
4833439L19Rik	chr13:54565182-54565382	116	200	316	0.367089	354
4921524J17Rik	chr8:85408759-85409890	35	16	51	0.686275	287
4930404N11Rik	chr10:81364542-81364667	11	11	22	0.5	51
4930414L22Rik	chr6:72438683-72440615	113	106	219	0.515982	123
4930427A07Rik	chr12:113163053-113165458	48	24	72	0.666667	167
4930432K21Rik	chr8:84170355-84170452	4	7	11	0.363636	47
4930444M15Rik	chr14:76515878-76516352	7	10	17	0.411765	18
4930447C04Rik	chr12:72916674-72916730	35	68	103	0.339806	225
4930452B06Rik	chr14:8558034-8558190	20	17	37	0.540541	148
4930453N24Rik	chr16:64768924-64769162	16	24	40	0.4	251
4930461G14Rik	chr9:58469145-58469623	8	64	72	0.111111	56
4930470H14Rik	chr17:4081830-4082995	12	16	28	0.428571	133
4930483K19Rik	chr10:76545871-76546800	4	5	9	0.444444	26
4930500J02Rik	chr2:104567861-104568230	404	308	712	0.567416	540
4930502E18Rik	chrX:53737666-53738222	33	40	73	0.452055	138
4930503L19Rik	chr18:70471673-70471979	119	90	209	0.569378	150
4930506C21Rik	chr17:8297029-8297243	14	27	41	0.341463	87
4930511M06Rik	chr18:57546014-57548375	26	19	45	0.577778	61
4930513N10Rik	chr8:95806830-95809180	21	9	30	0.7	31
4930524B15Rik	chr11:31978242-31979651	6	3	9	0.666667	44
4930528D03Rik	chr13:59733936-59734838	0	15	15	0	10
4930548H24Rik	chr5:31487282-31488262	0	15	15	0	26
4930579G24Rik	chr3:79631129-79632819	21	37	58	0.362069	45
4930591A17Rik	chr2:179416472-179416880	1	16	17	0.0588235	14
4931406C07Rik	chr9:15301367-15301607	24	21	45	0.533333	111
4931406P16Rik	chr7:34284702-34285609	44	29	73	0.60274	300
4931428F04Rik	chr8:105280409-105282144	9	1	10	0.9	60
4932438A13Rik	chr3:37052324-37053033	5	8	13	0.384615	395
4933402E13Rik	chrX:62290365-62292078	10	39	49	0.204082	109
4933404O12Rik	chr5:136933739-136937109	5	11	16	0.3125	64
4933413G19Rik	chr6:128375510-128375599	8	6	14	0.571429	0
4933421O10Rik	chr4:33027139-33030521	13	6	19	0.684211	32
4933426M11Rik	chr12:80877096-80880833	20	33	53	0.377358	273
4933434E20Rik	chr3:90061638-90063341	61	77	138	0.442029	243
4933438K21Rik	chr4:147063366-147064898	6	4	10	0.6	133
5031439G07Rik	chr15:84955806-84955928	46	44	90	0.511111	211
5330411J11Rik	chr2:59382493-59383954	5	39	44	0.113636	41
5430405H02Rik	chr2:156853431-156854304	13	13	26	0.5	115
5430416N02Rik	chr5:100429326-100429535	70	57	127	0.551181	108
5530601H04Rik	chrX:105066759-105066877	4	4	8	0.5	82
5730408K05Rik	chr19:8888387-8888770	6	12	18	0.333333	15
5830415F09Rik	chr4:46382059-46382685	21	34	55	0.381818	79
5830417I10Rik	chr3:88825390-88829371	39	17	56	0.696429	317
5830418K08Rik	chr9:15341441-15341624	76	68	144	0.527778	437
6030458C11Rik	chr15:12823561-12823706	123	262	385	0.319481	246
6330416G13Rik	chr4:63583786-63586353	15	18	33	0.454545	87
6330419J24Rik	chrX:56376030-56378470	7	4	11	0.636364	67
6430562O15Rik	chr13:99411842-99412826	45	63	108	0.416667	86
6720489N17Rik	chr13:62607373-62607499	31	12	43	0.72093	86
6820431F20Rik	chr8:20268286-20272219	111	1	112	0.991071	4113
8030462N17Rik	chr18:77673900-77674684	21	10	31	0.677419	265
9030624G23Rik	chr12:24043202-24044854	2	24	26	0.0769231	200
9030624J02Rik	chr7:118838113-118838231	72	59	131	0.549618	406
9130011E15Rik	chr19:45975219-45975275	44	55	99	0.444444	172
9130019O22Rik	chr7:127382260-127385630	13	2	15	0.866667	26
9130221H12Rik	chr7:25228723-25230264	44	32	76	0.578947	184
9130401M01Rik	chr15:58031984-58032079	212	101	313	0.677316	645
9430008C03Rik	chr2:158361405-158361522	23	18	41	0.560976	135
9430015G10Rik	chr4:156125417-156127263	160	142	302	0.529801	309
9430016H08Rik	chr1:57413240-57413387	18	8	26	0.692308	175
9430037G07Rik	chr9:88595325-88598247	5	7	12	0.416667	83
9430038I01Rik	chr7:137375569-137376351	38	19	57	0.666667	61
9530027J09Rik	chrX:48276792-48278190	184	246	430	0.427907	321
9530068E07Rik	chr11:52406945-52408723	38	64	102	0.372549	174
9530091C08Rik	chr9:68765346-68773322	26	0	26	1	25
9630033F20Rik	chr6:127085116-127088302	234	269	503	0.465209	574
9830147E19Rik	chr7:42609526-42614223	50	19	69	0.724638	269
9930021J03Rik	chr19:29714402-29719606	4	9	13	0.307692	185
9930104L06Rik	chr4:124942583-124944661	19	37	56	0.339286	74
A130077B15Rik	chr10:122565023-122567377	0	87	87	0	905
A230046K03Rik	chr10:83594171-83596473	138	99	237	0.582278	642
A230050P20Rik	chr9:20873542-20874307	7	15	22	0.318182	57
A230072C01Rik	chrX:20985979-20987349	32	25	57	0.561404	157
A230073K19Rik	chr7:59281879-59289166	9	9	18	0.5	114
A230103J11Rik	chr8:85060244-85060460	39	21	60	0.65	167
A2m	chr6:121675119-121675246	16	23	39	0.410256	128
A330032B11Rik	chr19:37194876-37196541	9	1	10	0.9	40
A430005L14Rik	chr4:153961490-153961924	66	72	138	0.478261	221
A630089N07Rik	chr16:98066544-98066665	47	13	60	0.783333	544
A730017L22Rik	chr2:130872541-130874442	5	38	43	0.116279	54
A830080D01Rik	chrX:159592071-159593081	47	0	47	1	351
A930004D18Rik	chr2:18025189-18028238	4	9	13	0.307692	75
A930005H10Rik	chr3:115886214-115886375	0	10	10	0	21
AA414768	chrX:12936873-12938541	13	5	18	0.722222	141
AA465934	chr11:83291967-83292097	2	51	53	0.0377358	60
AA467197	chr2:122640701-122641076	24	2	26	0.923077	30
AA987161	chr13:67589439-67593915	6	7	13	0.461538	157
Aaas	chr15:102339944-102340068	56	63	119	0.470588	579
Aacs	chr5:125516216-125517403	23	19	42	0.547619	159
Aaed1	chr13:64291836-64292228	3	17	20	0.15	90
Aagab	chr9:63640207-63641889	63	54	117	0.538462	306
Aak1	chr6:86965477-86965634	7	6	13	0.538462	196
Aamp	chr1:74282027-74282171	68	62	130	0.523077	879
Aar2	chr2:156566865-156568972	25	17	42	0.595238	155
Aard	chr15:52044799-52045722	384	244	628	0.611465	807
Aars	chr8:111055019-111055569	859	356	1215	0.706996	3096
Aars2	chr17:45520286-45520843	71	66	137	0.518248	225
Aarsd1	chr11:101417350-101417433	94	107	201	0.467662	393
Aasdh	chr5:76901918-76902185	27	21	48	0.5625	102
Aasdhppt	chr9:4308694-4308919	28	33	61	0.459016	526
Aatf	chr11:84513292-84513501	42	39	81	0.518519	271
Abca1	chr4:53042314-53042434	15	41	56	0.267857	292
Abca3	chr17:24409269-24410204	12	2	14	0.857143	116
Abcb10	chr8:123982402-123983122	156	44	200	0.78	237
Abcb1a	chr5:8747355-8748570	3	44	47	0.0638298	217
Abcb1b	chr5:8865750-8866314	72	105	177	0.40678	299
Abcb6	chr1:75179570-75180283	16	19	35	0.457143	124
Abcb7	chrX:104413657-104413846	80	90	170	0.470588	842
Abcb8	chr5:24406668-24406801	20	18	38	0.526316	190
Abcc1	chr16:14473460-14474878	23	5	28	0.821429	184
Abcc10	chr17:46310377-46310530	10	6	16	0.625	44
Abcc4	chr14:118654150-118654374	76	110	186	0.408602	354
Abcc5	chr16:20405389-20405544	112	210	322	0.347826	1016
Abcd3	chr3:121796449-121796485	179	177	356	0.502809	335
Abcd4	chr12:84613905-84614044	78	35	113	0.690265	296
Abce1	chr8:79683442-79685277	371	222	593	0.625632	3364
Abcf1	chr17:35963321-35963392	28	19	47	0.595745	811
Abcf2	chr5:24565341-24566003	46	74	120	0.383333	1113
Abcf3	chr16:20551644-20551703	3	5	8	0.375	313
Abcg2	chr6:58684333-58684457	6	13	19	0.315789	280
Abhd10	chr16:45737524-45737635	19	42	61	0.311475	114
Abhd11	chr5:135011887-135012175	95	87	182	0.521978	280
Abhd12	chr2:150846244-150846363	38	47	85	0.447059	200
Abhd13	chr8:9987385-9992154	16	25	41	0.390244	143
Abhd14a	chr9:106445526-106445834	63	36	99	0.636364	82
Abhd16a	chr17:35102670-35102987	7	5	12	0.583333	77
Abhd17a	chr10:80586515-80587030	18	13	31	0.580645	247
Abhd17b	chr19:21684098-21685637	8	9	17	0.470588	143
Abhd17c	chr7:84109356-84110801	68	36	104	0.653846	330
Abhd4	chr14:54267768-54269169	129	88	217	0.59447	355
Abi1	chr2:22953435-22953611	54	55	109	0.495413	544
Abi2	chr1:60476740-60481163	3	6	9	0.333333	213
Abi3	chr11:95830072-95832876	14	17	31	0.451613	59
Abl2	chr1:156640993-156649619	53	32	85	0.623529	279
Abr	chr11:76508888-76509419	72	63	135	0.533333	410
Abracl	chr10:18023067-18023252	55	32	87	0.632184	250
Abtb1	chr6:88841769-88841935	40	41	81	0.493827	169
Acaa1a	chr9:119349958-119350295	7	2	9	0.777778	210
Acaa2	chr18:74801297-74801367	24	126	150	0.16	194
Acaca	chr11:84399560-84401651	148	120	268	0.552239	690
Acacb	chr5:114249494-114250758	68	22	90	0.755556	266
Acad10	chr5:121621990-121622067	15	9	24	0.625	74
Acad11	chr9:104097354-104097452	9	7	16	0.5625	72
Acad12	chr5:121605543-121605701	17	2	19	0.894737	41
Acad9	chr3:36090831-36092857	25	35	60	0.416667	343
Acadl	chr1:66863173-66863309	100	58	158	0.632911	220
Acadm	chr3:153944396-153944643	192	356	548	0.350365	893
Acads	chr5:115113064-115113213	86	106	192	0.447917	410
Acadsb	chr7:131444237-131446211	84	86	170	0.494118	241
Acadvl	chr11:70012958-70013083	6	5	11	0.545455	112
Acap2	chr16:31092413-31096446	4	6	10	0.4	274
Acat1	chr9:53580522-53582665	6	7	13	0.461538	69
Acat2	chr17:12947357-12947479	130	102	232	0.560345	614
Acat3	chr17:12927338-12927460	264	184	448	0.589286	1021
Acbd3	chr1:180752159-180754204	9	3	12	0.75	231
Acbd4	chr11:103106095-103106234	11	10	21	0.52381	47
Acbd5	chr2:23112505-23114512	63	67	130	0.484615	186
Acbd6	chr1:155677204-155677234	18	23	41	0.439024	150
Accsl	chr2:93865682-93866229	4	11	15	0.266667	60
Acd	chr8:105700703-105700839	71	29	100	0.71	164
Acer2	chr4:86932032-86932490	65	67	132	0.492424	177
Acer3	chr7:98257696-98257777	11	9	20	0.55	174
Acin1	chr14:54679241-54679352	217	228	445	0.48764	1097
Ackr3	chr1:90213795-90215722	5	6	11	0.454545	46
Acly	chr11:100523440-100523621	589	591	1180	0.499153	3025
Acn9	chr6:7038854-7039220	9	5	14	0.642857	52
Aco1	chr4:40197554-40199009	186	143	329	0.56535	405
Aco2	chr15:81914628-81915137	233	149	382	0.609948	2255
Acot13	chr13:24831226-24831489	20	62	82	0.243902	99
Acot8	chr2:164799720-164799945	15	12	27	0.555556	90
Acot9	chrX:155295683-155295768	82	0	82	1	363
Acox1	chr11:116179608-116179777	13	9	22	0.590909	135
Acox3	chr5:35612015-35613801	13	36	49	0.265306	89
Acp1	chr12:30893326-30895953	249	145	394	0.63198	1274
Acp2	chr2:91210607-91214098	12	16	28	0.428571	166
Acp5	chr9:22129863-22130129	87	46	133	0.654135	253
Acp6	chr3:97171642-97171742	51	36	87	0.586207	1050
Acsf2	chr11:94571562-94571680	10	46	56	0.178571	145
Acsf3	chr8:122817392-122817881	26	8	34	0.764706	63
Acsl1	chr8:46534340-46536050	71	56	127	0.559055	317
Acsl3	chr1:78706258-78707743	90	105	195	0.461538	545
Acsl4	chrX:142350960-142351137	84	59	143	0.587413	428
Acsl5	chr19:55295373-55295522	12	8	20	0.6	133
Acss1	chr2:150624990-150625117	32	48	80	0.4	151
Acss2	chr2:155561953-155562743	2	9	11	0.181818	114
Actb	chr5:142903116-142903941	54	49	103	0.524272	5523
Actg1	chr11:120348425-120348484	1123	796	1919	0.585201	11216
Actl6a	chr3:32725247-32725333	256	482	738	0.346883	1200
Actn1	chr12:80178302-80178452	289	194	483	0.598344	1368
Actn4	chr7:28918954-28919068	286	286	572	0.5	1635
Actr10	chr12:70961867-70964717	264	71	335	0.78806	790
Actr1a	chr19:46384220-46384345	113	143	256	0.441406	585
Actr1b	chr1:36700337-36700377	52	53	105	0.495238	429
Actr2	chr11:20094230-20094445	271	319	590	0.459322	2126
Actr3	chr1:125405845-125405988	125	112	237	0.527426	1045
Actr5	chr2:158638633-158639211	14	31	45	0.311111	69
Actr6	chr10:89726637-89726760	55	53	108	0.509259	201
Actr8	chr14:29992961-29993221	22	22	44	0.5	233
Acy1	chr9:106437629-106437737	23	25	48	0.479167	200
Acyp1	chr12:85272398-85272827	18	9	27	0.666667	57
Adal	chr2:121155335-121156680	4	5	9	0.444444	164
Adam10	chr9:70778000-70780229	8	21	29	0.275862	267
Adam15	chr3:89344118-89344210	5	7	12	0.416667	71
Adam17	chr12:21373336-21373632	158	63	221	0.714932	391
Adam19	chr11:46143792-46147347	169	223	392	0.431122	678
Adam23	chr1:63592608-63596515	24	40	64	0.375	216
Adam9	chr8:24992074-24992243	24	30	54	0.444444	150
Adap1	chr5:139280705-139280817	13	25	38	0.342105	121
Adar	chr3:89750929-89753455	8	22	30	0.266667	226
Adat1	chr8:111982162-111982765	6	9	15	0.4	91
Adat2	chr10:13562815-13563376	16	33	49	0.326531	146
Adck1	chr12:88461015-88461726	9	9	18	0.5	108
Adck4	chr7:27257223-27257949	12	16	28	0.428571	78
Add1	chr5:34630470-34632305	122	171	293	0.416382	846
Adh5	chr3:138455085-138455499	883	853	1736	0.508641	2291
Adi1	chr12:28680966-28682174	216	134	350	0.617143	418
Adipor1	chr1:134431530-134432341	53	69	122	0.434426	480
Adipor2	chr6:119353150-119355928	63	82	145	0.434483	434
Adk	chr14:21447814-21448569	74	64	138	0.536232	248
Adnp2	chr18:80127135-80130994	93	130	223	0.41704	371
Ado	chr10:67544511-67548955	58	61	119	0.487395	239
Adpgk	chr9:59314731-59316200	79	102	181	0.436464	357
Adprhl2	chr4:126317720-126317904	9	13	22	0.409091	186
Adprm	chr11:67051681-67051778	35	26	61	0.57377	166
Adrbk1	chr19:4289313-4289413	18	19	37	0.486486	327
Adrm1	chr2:180171588-180171688	8	5	13	0.615385	793
Adsl	chr15:80968662-80970947	103	175	278	0.370504	493
Adss	chr1:177796212-177796509	278	285	563	0.493783	1487
Aebp2	chr6:140650756-140655481	88	70	158	0.556962	616
Aen	chr7:78907144-78908833	100	69	169	0.591716	562
Aes	chr10:81565472-81566371	134	199	333	0.402402	1188
AF357399	chr7:28351540-28351633	3	6	9	0.333333	10
Aff1	chr5:103850702-103855322	259	277	536	0.483209	898
Aff4	chr11:53415388-53421830	164	227	391	0.419437	1097
Afg3l1	chr8:123501848-123503916	222	129	351	0.632479	783
Afg3l2	chr18:67442310-67442387	140	177	317	0.44164	575
Afmid	chr11:117838493-117839908	25	6	31	0.806452	58
Aftph	chr11:20725685-20727639	29	32	61	0.47541	251
Aga	chr8:53520237-53520344	70	12	82	0.853659	175
Agap1	chr1:89888691-89895282	5	3	8	0.625	181
Agap3	chr5:24501010-24501265	8	9	17	0.470588	148
Agfg1	chr1:82894999-82896275	274	348	622	0.440514	784
Agfg2	chr5:137664216-137664372	29	19	48	0.604167	136
Aggf1	chr13:95370757-95370959	141	162	303	0.465347	417
Ago1	chr4:126453826-126453948	93	70	163	0.570552	405
Ago2	chr15:73123877-73123999	41	58	99	0.414141	607
Agpat1	chr17:34612253-34613449	36	34	70	0.514286	311
Agpat2	chr2:26596291-26596466	28	26	54	0.518519	302
Agpat3	chr10:78284189-78284350	7	6	13	0.538462	171
Agpat4	chr17:12218985-12219640	46	19	65	0.707692	205
Agpat5	chr8:18881738-18884413	73	72	145	0.503448	501
Agpat6	chr8:23190716-23191692	26	40	66	0.393939	260
Agps	chr2:75925922-75931350	36	70	106	0.339623	848
Agrn	chr4:156185088-156185135	449	342	791	0.567636	1131
Agtrap	chr4:148087917-148088064	136	123	259	0.525097	589
Ahctf1	chr1:179781643-179781783	219	299	518	0.42278	1221
Ahcy	chr2:155074365-155074497	153	221	374	0.409091	3454
Ahcyl2	chr6:29909040-29912310	21	34	55	0.381818	166
Ahdc1	chr4:133061376-133066277	6	5	11	0.545455	187
Ahnak	chr19:9001699-9019196	16	12	28	0.571429	389
Ahsa2	chr11:23496691-23496881	54	71	125	0.432	427
AI314180	chr4:58861525-58861644	15	16	31	0.483871	513
AI413582	chr17:27563769-27564016	11	7	18	0.611111	44
AI414108	chr9:27352685-27357543	9	3	12	0.75	92
AI464131	chr4:41495601-41499690	3	7	10	0.3	179
AI467606	chr7:127092169-127094049	4	22	26	0.153846	32
AI506816	chr5:23710017-23710408	8	18	26	0.307692	40
AI507597	chr4:141614958-141615604	4	7	11	0.363636	44
AI597479	chr1:43113186-43115946	41	52	93	0.44086	156
AI661453	chr17:47469276-47470638	11	8	19	0.578947	91
AI837181	chr19:5425937-5427316	16	21	37	0.432432	138
AI846148	chr19:7382672-7383026	32	28	60	0.533333	265
AI987944	chr7:41376746-41376872	5	17	22	0.227273	71
Aida	chr1:183322489-183324501	52	78	130	0.4	232
Aifm2	chr10:61739028-61739260	18	23	41	0.439024	141
Aig1	chr10:13829243-13829398	5	10	15	0.333333	30
Aim1l	chr4:134092050-134092209	28	10	38	0.736842	107
Aim2	chr1:173464971-173466036	212	88	300	0.706667	284
Aimp1	chr3:132683793-132683879	68	89	157	0.433121	844
Aimp2	chr5:143909581-143909839	27	26	53	0.509434	245
Aip	chr19:4115320-4115496	48	26	74	0.648649	196
Ajuba	chr14:54567469-54569056	146	102	248	0.58871	446
AK010878	chr12:102757541-102757810	21	12	33	0.636364	104
Ak2	chr4:129010563-129011529	212	109	321	0.660436	1078
Ak4	chr4:101463553-101467771	437	490	927	0.471413	794
Ak6	chr13:100664051-100664196	68	72	140	0.485714	120
Ak7	chr12:105781671-105782447	119	53	172	0.69186	325
Akap1	chr11:88844259-88845865	169	165	334	0.505988	743
Akap10	chr11:61915024-61915581	19	19	38	0.5	134
Akap11	chr14:78522591-78522702	80	127	207	0.386473	533
Akap12	chr10:4358478-4359471	1034	792	1826	0.566265	2730
Akap2	chr4:57892869-57896984	47	103	150	0.313333	255
